Variant,Room_ID,DATE,room_tournaments,Room_Net_Profit,Room_Gross_Revenue,Room_Total_Time,Player_Count,Avg_Score_In_Room,Max_Score_In_Room,Total_Coins_Spent_In_Room,Total_Coins_Claimed_In_Room,Avg_Player_Duration
B_Test_Group,1979,2024-06-03,t8,192,60,638.551,4,115.25,139,80,28,168.38775
A_Control_Group,2066,2024-06-03,t7,216,80,687.055,4,138,210,80,84,171.76375000000002
B_Test_Group,1999,2024-06-02,t17,238,80,793.507,4,134.5,208,80,42,198.37675
B_Test_Group,1829,2024-05-31,t13,210,80,681.987,4,141.25,176,80,70,170.49675
B_Test_Group,1739,2024-05-30,t5,216,80,594.33,4,129.75,141,80,84,148.5825
A_Control_Group,1757,2024-05-30,t11,216,80,534.005,4,162.75,197,80,84,133.50125
A_Control_Group,1684,2024-05-29,t2,210,80,527.588,4,120.5,168,80,70,131.897
A_Control_Group,1700,2024-05-29,t11,216,80,557.35,4,111.5,159,80,84,139.3375
A_Control_Group,1719,2024-05-29,t4,210,80,667.594,4,151.5,186,80,70,166.89849999999998
A_Control_Group,1584,2024-05-27,t14,216,80,564.288,4,114.25,177,80,84,141.072
A_Control_Group,1506,2024-05-26,t2,232,80,505.378,4,116.25,162,80,28,126.34450000000001
A_Control_Group,1531,2024-05-26,t3,216,80,666.509,4,137.75,195,80,84,166.62725
A_Control_Group,1419,2024-05-25,t6,216,80,497.308,4,160.5,185,80,84,124.327
B_Test_Group,1450,2024-05-25,t1,216,80,752.307,4,170.25,210,80,84,188.07675
B_Test_Group,1339,2024-05-23,t9,210,80,984.575,4,93.25,129,80,70,246.14375
B_Test_Group,1189,2024-05-21,t9,216,80,503.495,4,125.5,183,80,84,125.87375000000002
A_Control_Group,1057,2024-05-19,t2,210,80,790.927,4,157.5,178,80,70,197.73174999999998
B_Test_Group,1102,2024-05-19,t9,224,80,427.663,4,155,203,80,56,106.91575
B_Test_Group,927,2024-05-17,t19,216,80,518.354,4,87,123,80,84,129.5885
A_Control_Group,875,2024-05-16,t4,218,80,764.853,4,133.5,190,80,42,191.21325
A_Control_Group,758,2024-05-14,t10,216,80,568.609,4,119.75,160,80,84,142.15225
A_Control_Group,719,2024-05-13,t18,216,80,721.006,4,171,185,80,84,180.25150000000002
A_Control_Group,453,2024-05-09,t15,216,80,717.35,4,141.5,200,80,84,179.3375
B_Test_Group,247,2024-05-05,t16,224,80,870.285,4,151.75,186,80,56,217.57125
B_Test_Group,257,2024-05-05,t19,238,80,643.892,4,122.5,158,80,42,160.973
A_Control_Group,213,2024-05-04,t11,238,80,514.465,4,111.75,158,80,42,128.61624999999998
A_Control_Group,112,2024-05-03,t18,216,80,799.463,4,98.5,165,80,84,199.86575
B_Test_Group,159,2024-05-03,t5,216,80,947.103,4,150,179,80,84,236.77575000000002
A_Control_Group,21,2024-05-02,t2,196,60,593.604,4,101.75,146,80,84,148.401
A_Control_Group,93,2024-05-02,t18,216,80,849.251,4,137.25,221,80,84,212.31275
A_Control_Group,13,2024-05-01,t3,216,80,748.015,4,144.75,197,80,84,187.00375
A_Control_Group,6625,2024-07-30,t18,234,100,1171.07,5,136,177,100,126,234.21399999999997
A_Control_Group,6700,2024-07-30,t2,276,100,753.387,5,139.8,201,100,84,150.67739999999998
B_Test_Group,6525,2024-07-29,t19,234,100,906.518,5,141,209,100,126,181.3036
B_Test_Group,6536,2024-07-29,t5,240,100,1018.267,5,151.2,189,100,140,203.6534
A_Control_Group,6551,2024-07-29,t4,240,100,850.652,5,131.4,208,100,140,170.1304
A_Control_Group,6434,2024-07-28,t18,240,100,850.355,5,120.8,159,100,140,170.071
B_Test_Group,6441,2024-07-28,t12,240,100,882.928,5,124.6,157,100,140,176.5856
A_Control_Group,6500,2024-07-28,t11,248,100,675.432,5,153,166,100,112,135.0864
B_Test_Group,6508,2024-07-28,t12,298,100,863.059,5,142.2,235,100,42,172.6118
B_Test_Group,6384,2024-07-27,t20,240,100,739.792,5,144.8,217,100,140,147.95839999999998
A_Control_Group,6168,2024-07-25,t7,262,100,805.115,5,134,187,100,98,161.023
B_Test_Group,6174,2024-07-25,t9,276,100,722.518,5,150,194,100,84,144.5036
A_Control_Group,6195,2024-07-25,t14,240,100,611.21,5,147,186,100,140,122.24199999999999
A_Control_Group,6136,2024-07-24,t7,234,100,906.465,5,147.4,249,100,126,181.293
B_Test_Group,6023,2024-07-23,t8,262,100,957.452,5,118.4,158,100,98,191.4904
A_Control_Group,5899,2024-07-22,t15,240,100,851.537,5,124.6,164,100,140,170.30740000000003
B_Test_Group,5835,2024-07-21,t13,240,100,826.667,5,100.2,132,100,140,165.33339999999998
B_Test_Group,5840,2024-07-21,t8,240,100,967.502,5,112,148,100,140,193.50039999999998
A_Control_Group,5730,2024-07-20,t6,276,100,905.957,5,134.6,221,100,84,181.1914
B_Test_Group,5619,2024-07-19,t17,240,100,926.923,5,121.2,134,100,140,185.3846
B_Test_Group,5687,2024-07-19,t19,240,100,770.156,5,126,182,100,140,154.0312
A_Control_Group,5529,2024-07-18,t2,262,100,939.375,5,180.4,195,100,98,187.875
B_Test_Group,5262,2024-07-15,t12,240,100,948.565,5,135.8,181,100,140,189.713
A_Control_Group,5329,2024-07-15,t6,240,100,629.77,5,126,184,100,140,125.954
A_Control_Group,5161,2024-07-14,t2,200,80,670.074,5,139.4,190,100,140,169.1722
B_Test_Group,5227,2024-07-14,t1,234,100,686.126,5,151.2,177,100,126,137.2252
A_Control_Group,5240,2024-07-14,t11,240,100,797.855,5,123,194,100,140,159.57100000000003
A_Control_Group,5090,2024-07-13,t3,240,100,938.82,5,119,191,100,140,187.76399999999998
B_Test_Group,5134,2024-07-13,t5,262,100,794.18,5,133.6,202,100,98,158.83599999999998
A_Control_Group,5068,2024-07-12,t18,240,100,760.653,5,120.2,165,100,140,152.13060000000002
A_Control_Group,4925,2024-07-11,t6,240,100,688.025,5,134.6,161,100,140,137.605
B_Test_Group,4971,2024-07-11,t20,262,100,884.538,5,94.8,134,100,98,176.9076
B_Test_Group,4856,2024-07-10,t12,240,100,1179.108,5,143.4,202,100,140,235.8216
B_Test_Group,4796,2024-07-09,t17,240,100,802.147,5,160,201,100,140,160.42940000000002
A_Control_Group,4680,2024-07-08,t15,240,100,616.772,5,128,187,100,140,123.3544
A_Control_Group,4699,2024-07-08,t18,240,100,582.645,5,148,193,100,140,116.52900000000001
A_Control_Group,4713,2024-07-08,t3,240,100,858.319,5,147.4,203,100,140,171.66379999999998
A_Control_Group,4741,2024-07-08,t11,240,100,1037.634,5,115.8,157,100,140,207.52679999999998
A_Control_Group,4493,2024-07-06,t4,240,100,710.616,5,160.2,194,100,140,142.1232
A_Control_Group,4523,2024-07-06,t6,240,100,784.276,5,96.4,135,100,140,156.8552
A_Control_Group,4568,2024-07-06,t11,240,100,977.017,5,106,125,100,140,195.40339999999998
A_Control_Group,4430,2024-07-05,t14,248,100,872.542,5,142.4,185,100,112,174.5084
B_Test_Group,4447,2024-07-05,t20,240,100,924.562,5,173.4,215,100,140,184.91240000000002
A_Control_Group,4379,2024-07-04,t2,240,100,875.383,5,145.8,182,100,140,175.07659999999998
B_Test_Group,4248,2024-07-03,t19,240,100,934.942,5,99.4,141,100,140,186.98839999999998
A_Control_Group,4263,2024-07-03,t3,240,100,850.628,5,140.2,174,100,140,170.1256
A_Control_Group,4303,2024-07-03,t2,234,100,856.88,5,142.8,189,100,126,171.376
A_Control_Group,4178,2024-07-02,t15,240,100,716.162,5,123.2,159,100,140,143.2324
A_Control_Group,4234,2024-07-02,t2,234,100,770.878,5,145.2,237,100,126,154.1756
B_Test_Group,4136,2024-07-01,t16,270,100,810.859,5,104.4,143,100,70,162.17180000000002
A_Control_Group,4073,2024-06-30,t6,240,100,877.326,5,155.6,177,100,140,175.46519999999998
A_Control_Group,3964,2024-06-29,t10,240,100,661.679,5,141,186,100,140,132.33579999999998
B_Test_Group,3984,2024-06-29,t17,240,100,915.657,5,126.4,160,100,140,183.13139999999999
B_Test_Group,3862,2024-06-28,t5,262,100,693.178,5,156.6,211,100,98,138.6356
B_Test_Group,3763,2024-06-27,t8,240,100,897.297,5,124.8,198,100,140,179.45940000000002
A_Control_Group,3769,2024-06-27,t2,240,100,986.614,5,145.8,250,100,140,197.3228
B_Test_Group,3526,2024-06-24,t16,262,100,753.667,5,157.2,204,100,98,150.73340000000002
B_Test_Group,3455,2024-06-23,t5,240,100,967.206,5,132.8,161,100,140,193.4412
A_Control_Group,3518,2024-06-23,t18,234,100,796.075,5,136.4,218,100,126,159.21500000000003
B_Test_Group,3338,2024-06-21,t1,276,100,927.793,5,128.8,175,100,84,185.5586
A_Control_Group,3364,2024-06-21,t4,276,100,688.428,5,136.2,187,100,84,137.68560000000002
B_Test_Group,3231,2024-06-20,t13,240,100,1007.335,5,129.4,157,100,140,201.467
A_Control_Group,3147,2024-06-19,t2,240,100,664.561,5,126,162,100,140,132.9122
B_Test_Group,2917,2024-06-16,t12,240,100,811.048,5,160.6,271,100,140,162.2096
A_Control_Group,2949,2024-06-16,t18,298,100,874.029,5,166.6,211,100,42,174.80579999999998
B_Test_Group,2854,2024-06-15,t13,240,100,672.569,5,120.6,147,100,140,134.5138
A_Control_Group,2867,2024-06-15,t11,240,100,922.635,5,146.2,207,100,140,184.52700000000002
A_Control_Group,2872,2024-06-15,t7,276,100,784.34,5,165.6,215,100,84,156.868
B_Test_Group,2908,2024-06-15,t9,240,100,694.979,5,130,196,100,140,138.9958
B_Test_Group,2739,2024-06-13,t8,298,100,1089.839,5,161.4,208,100,42,217.96779999999998
B_Test_Group,2569,2024-06-11,t8,240,100,642.632,5,139.2,195,100,140,128.5264
A_Control_Group,2496,2024-06-10,t3,240,100,822.391,5,93.8,143,100,140,164.4782
A_Control_Group,2477,2024-06-09,t4,240,100,903.421,5,126.8,169,100,140,180.6842
B_Test_Group,2398,2024-06-08,t20,234,100,1009.112,5,112.6,205,100,126,201.8224
B_Test_Group,2176,2024-06-05,t19,234,100,903.241,5,111.8,139,100,126,180.64819999999997
A_Control_Group,1977,2024-06-02,t14,262,100,885.87,5,140,197,100,98,177.17400000000004
A_Control_Group,1905,2024-06-01,t4,240,100,718.155,5,128.8,178,100,140,143.631
B_Test_Group,1834,2024-05-31,t9,270,100,865.468,5,101.8,181,100,70,173.0936
A_Control_Group,1750,2024-05-30,t3,276,100,817.084,5,137.6,224,100,84,163.4168
A_Control_Group,1683,2024-05-29,t6,240,100,556.606,5,170.6,240,100,140,111.3212
B_Test_Group,1698,2024-05-29,t17,240,100,998.626,5,152,190,100,140,199.7252
B_Test_Group,1701,2024-05-29,t1,240,100,822.541,5,164.4,184,100,140,164.50820000000002
B_Test_Group,1611,2024-05-28,t8,262,100,691.87,5,111.6,189,100,98,138.374
A_Control_Group,1614,2024-05-28,t4,240,100,1059.172,5,146.2,180,100,140,211.8344
A_Control_Group,1655,2024-05-28,t15,240,100,893.649,5,138.2,168,100,140,178.72979999999998
A_Control_Group,1656,2024-05-28,t10,262,100,901.539,5,119.2,177,100,98,180.3078
B_Test_Group,1586,2024-05-27,t5,240,100,840.638,5,113,202,100,140,168.1276
A_Control_Group,1535,2024-05-26,t2,276,100,860.447,5,145.4,200,100,84,172.0894
A_Control_Group,1328,2024-05-23,t7,240,100,703.912,5,149.6,191,100,140,140.7824
A_Control_Group,1276,2024-05-22,t7,262,100,497.855,5,129.2,154,100,98,99.571
B_Test_Group,1188,2024-05-21,t5,234,100,854.01,5,141,184,100,126,170.802
B_Test_Group,1127,2024-05-20,t20,234,100,688.249,5,147.4,195,100,126,137.6498
A_Control_Group,1063,2024-05-19,t15,240,100,724.209,5,130.6,164,100,140,144.8418
A_Control_Group,1096,2024-05-19,t2,240,100,923.543,5,131.6,179,100,140,184.70860000000002
A_Control_Group,940,2024-05-17,t7,240,100,792.274,5,125.2,190,100,140,158.45479999999998
A_Control_Group,847,2024-05-15,t14,276,100,834.076,5,111.2,170,100,84,166.8152
B_Test_Group,772,2024-05-14,t17,240,100,845.962,5,117.6,151,100,140,169.1924
B_Test_Group,717,2024-05-13,t5,240,100,730.25,5,108.6,130,100,140,146.05
B_Test_Group,568,2024-05-11,t19,234,100,696.297,5,173.6,195,100,126,139.25939999999997
A_Control_Group,541,2024-05-10,t14,276,100,502.568,5,144,197,100,84,100.5136
B_Test_Group,543,2024-05-10,t13,240,100,628.519,5,143.6,177,100,140,125.7038
B_Test_Group,545,2024-05-10,t17,234,100,751.88,5,133,153,100,126,150.376
A_Control_Group,402,2024-05-08,t4,240,100,977.618,5,122.2,166,100,140,195.5236
A_Control_Group,6607,2024-07-30,t14,250,120,1124.752,6,124.66666666666666,154,120,210,187.45866666666666
A_Control_Group,6635,2024-07-30,t2,286,120,925.979,6,158.16666666666669,230,120,154,154.32983333333337
A_Control_Group,6677,2024-07-30,t4,294,120,1050.575,6,108.83333333333334,147,120,126,175.09583333333333
B_Test_Group,6702,2024-07-30,t1,324,120,833.599,4,126.75,215,120,126,208.39975
A_Control_Group,6527,2024-07-29,t11,250,120,774.14,6,157,200,120,210,129.02333333333334
B_Test_Group,6541,2024-07-29,t19,324,120,658.505,4,103,113,120,126,164.62625
B_Test_Group,6543,2024-07-29,t12,258,120,939.384,6,136.66666666666666,179,120,182,156.56400000000002
B_Test_Group,6567,2024-07-29,t9,324,120,761.587,4,110.25,146,120,126,190.39675
B_Test_Group,6438,2024-07-28,t13,324,120,697.828,4,105.75,138,120,126,174.457
B_Test_Group,6439,2024-07-28,t1,336,120,491.077,4,104.5,115,120,84,122.76925
A_Control_Group,6492,2024-07-28,t6,286,120,1061.375,6,120.83333333333333,140,120,154,176.89583333333334
A_Control_Group,6358,2024-07-27,t4,324,120,901.469,4,138.5,154,120,126,225.36725
B_Test_Group,6367,2024-07-27,t17,315,120,546.409,4,123.75,166,120,105,136.60225000000003
B_Test_Group,6411,2024-07-27,t8,324,120,719.074,4,127,168,120,126,179.7685
A_Control_Group,6266,2024-07-26,t10,250,120,1073.04,6,167.66666666666666,195,120,210,178.83999999999997
B_Test_Group,6289,2024-07-26,t8,250,120,933.748,6,143.16666666666666,192,120,210,155.62466666666666
B_Test_Group,6173,2024-07-25,t16,344,120,1118.407,6,133.83333333333334,150,120,56,186.40116666666668
A_Control_Group,6179,2024-07-25,t15,357,120,690.076,4,111.5,127,120,63,172.519
A_Control_Group,6196,2024-07-25,t11,244,120,1311.89,6,134,158,120,196,218.64833333333331
B_Test_Group,6202,2024-07-25,t1,244,120,1086.097,6,161.66666666666666,217,120,196,181.01616666666666
B_Test_Group,6203,2024-07-25,t8,250,120,944.417,6,128.16666666666669,209,120,210,157.40283333333335
A_Control_Group,6212,2024-07-25,t14,324,120,642.32,4,163,199,120,126,160.58
B_Test_Group,6214,2024-07-25,t20,324,120,700.098,4,122.75,160,120,126,175.0245
B_Test_Group,6062,2024-07-24,t5,250,120,958.572,6,148.5,212,120,210,159.762
B_Test_Group,6071,2024-07-24,t19,324,120,541.25,4,149.25,168,120,126,135.3125
A_Control_Group,5977,2024-07-23,t7,357,120,830.809,4,128.75,179,120,63,207.70225
A_Control_Group,6031,2024-07-23,t14,324,120,551.621,4,141.5,171,120,126,137.90525
B_Test_Group,6044,2024-07-23,t5,324,120,728.296,4,173,245,120,126,182.074
B_Test_Group,5853,2024-07-22,t5,252,120,921.596,6,137.33333333333331,190,120,168,153.59933333333333
A_Control_Group,5922,2024-07-22,t3,272,120,1052.62,6,130,178,120,168,175.43666666666667
B_Test_Group,5658,2024-07-20,t12,234,60,512.857,4,135.5,153,120,126,152.24325
B_Test_Group,5743,2024-07-20,t5,357,120,636.063,4,128,154,120,63,159.01575
A_Control_Group,5748,2024-07-20,t18,369,120,871.273,4,160.25,218,120,21,217.81824999999998
B_Test_Group,5762,2024-07-20,t17,357,120,601.823,4,108.25,159,120,63,150.45575
B_Test_Group,5773,2024-07-20,t8,250,120,1038.598,6,145.83333333333334,229,120,210,173.09966666666668
B_Test_Group,5778,2024-07-20,t13,244,120,966.237,6,161.5,207,120,196,161.0395
A_Control_Group,5656,2024-07-19,t6,324,120,667.314,4,130,236,120,126,166.82850000000002
A_Control_Group,5688,2024-07-19,t7,294,120,744.416,6,135,171,120,126,124.06933333333333
B_Test_Group,5538,2024-07-18,t16,300,120,1145.024,6,161.33333333333334,254,120,140,190.83733333333331
B_Test_Group,5601,2024-07-18,t17,324,120,780.606,4,117.5,148,120,126,195.1515
B_Test_Group,5604,2024-07-18,t19,300,120,776.246,6,118.16666666666667,154,120,140,129.37433333333331
B_Test_Group,5440,2024-07-17,t5,327,120,662.023,4,146.75,166,120,63,165.50575
A_Control_Group,5464,2024-07-17,t15,324,120,624.274,4,131.75,158,120,126,156.0685
A_Control_Group,5355,2024-07-16,t15,286,120,907.601,6,123.33333333333333,161,120,154,151.26683333333335
B_Test_Group,5401,2024-07-16,t12,286,120,1101.771,6,104.5,168,120,154,183.6285
B_Test_Group,5406,2024-07-16,t13,244,120,721.598,6,146.16666666666666,203,120,196,120.26633333333334
A_Control_Group,5341,2024-07-15,t7,250,120,1095.028,6,103.66666666666667,115,120,210,182.50466666666668
B_Test_Group,5177,2024-07-14,t12,250,120,1297.523,6,130.66666666666666,200,120,210,216.25383333333335
A_Control_Group,5128,2024-07-13,t2,250,120,782.492,6,141.83333333333334,217,120,210,130.41533333333331
B_Test_Group,5129,2024-07-13,t9,324,120,767.615,4,132,153,120,126,191.90375
A_Control_Group,5145,2024-07-13,t15,286,120,1044.967,6,132.83333333333334,188,120,154,174.16116666666665
A_Control_Group,5154,2024-07-13,t3,272,120,1065.805,6,125,153,120,168,177.63416666666666
B_Test_Group,5162,2024-07-13,t16,324,120,772.113,4,147.5,215,120,126,193.02824999999999
B_Test_Group,5014,2024-07-12,t13,300,120,1187.221,6,124.33333333333334,197,120,140,197.87016666666668
A_Control_Group,5038,2024-07-12,t11,316,120,1055.685,6,115.33333333333333,174,120,84,175.9475
A_Control_Group,4988,2024-07-11,t7,250,120,1086.374,6,106,167,120,210,181.06233333333336
B_Test_Group,4997,2024-07-11,t13,250,120,1133.587,6,156.33333333333331,201,120,210,188.93116666666668
B_Test_Group,4800,2024-07-10,t16,264,90,496.562,4,158.25,222,120,126,145.25
B_Test_Group,4847,2024-07-10,t1,250,120,979.789,6,133,162,120,210,163.29816666666665
A_Control_Group,4872,2024-07-10,t6,324,120,667.987,4,150.25,206,120,126,166.99675
B_Test_Group,4874,2024-07-10,t17,300,120,896.152,6,119.33333333333334,215,120,140,149.35866666666666
A_Control_Group,4908,2024-07-10,t11,258,120,1284.812,6,125,178,120,182,214.13533333333334
B_Test_Group,4755,2024-07-09,t5,250,120,942.384,6,125,190,120,210,157.064
A_Control_Group,4774,2024-07-09,t11,324,120,593.315,4,147.75,210,120,126,148.32874999999999
A_Control_Group,4782,2024-07-09,t2,250,120,971.488,6,118.16666666666667,207,120,210,161.91466666666668
B_Test_Group,4791,2024-07-09,t9,250,120,881.746,6,124,159,120,210,146.95766666666665
A_Control_Group,4816,2024-07-09,t11,250,120,780.01,6,145.5,215,120,210,130.00166666666667
B_Test_Group,4676,2024-07-08,t5,315,120,715.864,4,121.75,155,120,105,178.966
B_Test_Group,4698,2024-07-08,t16,258,120,953.25,6,165.83333333333334,207,120,182,158.875
A_Control_Group,4731,2024-07-08,t10,250,120,975.046,6,148.83333333333331,187,120,210,162.50766666666669
A_Control_Group,4592,2024-07-07,t10,324,120,919.284,4,96.5,121,120,126,229.82100000000003
B_Test_Group,4611,2024-07-07,t12,252,120,870.412,6,165.66666666666666,201,120,168,145.06866666666667
B_Test_Group,4542,2024-07-06,t5,250,120,1080.31,6,143.66666666666669,175,120,210,180.05166666666668
B_Test_Group,4410,2024-07-05,t17,272,120,983.641,6,162.83333333333334,197,120,168,163.94016666666667
B_Test_Group,4420,2024-07-05,t19,324,120,735.361,4,121.75,185,120,126,183.84025
B_Test_Group,4443,2024-07-05,t1,324,120,822.534,4,95.25,121,120,126,205.6335
